data,produto,categoria,preco_unitario,mes,dia_semana,quantidade_vendida
2023-01-01,Leite Integral,Laticínios,4.77,1,Sunday,114
2023-01-01,Pão Francês,Padaria,0.54,1,Sunday,104
2023-01-01,Banana Nanica,Hortifruti,2.95,1,Sunday,29
2023-01-01,Coca-Cola 2L,Bebidas,8.2,1,Sunday,166
2023-01-01,Arroz 5kg,Mercearia,21.69,1,Sunday,224
2023-01-01,Feijão Carioca,Mercearia,8.52,1,Sunday,79
2023-01-01,Sabonete,Higiene,2.02,1,Sunday,92
2023-01-01,Fralda Infantil,Infantil,43.99,1,Sunday,173
2023-01-01,Queijo Mussarela,Laticínios,35.58,1,Sunday,174
2023-01-01,Cerveja Lata,Bebidas,3.13,1,Sunday,121
2023-01-01,Iogurte Natural,Laticínios,2.71,1,Sunday,127
2023-01-01,Manteiga 200g,Laticínios,6.39,1,Sunday,25
2023-01-01,Tomate,Hortifruti,4.0,1,Sunday,64
2023-01-01,Alface,Hortifruti,2.09,1,Sunday,107
2023-01-01,Cenoura,Hortifruti,3.11,1,Sunday,136
2023-01-01,Detergente,Limpeza,2.27,1,Sunday,177
2023-01-01,Desinfetante,Limpeza,4.35,1,Sunday,126
2023-01-01,Shampoo,Higiene,9.83,1,Sunday,75
2023-01-01,Creme Dental,Higiene,3.26,1,Sunday,198
2023-01-01,Papel Higiênico,Higiene,9.61,1,Sunday,148
2023-01-01,Óleo de Soja,Mercearia,6.91,1,Sunday,203
2023-01-01,Macarrão Espaguete,Mercearia,4.08,1,Sunday,159
2023-01-01,Molho de Tomate,Mercearia,2.95,1,Sunday,185
2023-01-01,Café 500g,Mercearia,12.31,1,Sunday,165
2023-01-01,Biscoito Recheado,Mercearia,2.51,1,Sunday,44
2023-01-01,"Água Mineral 1,5L",Bebidas,2.1,1,Sunday,173
2023-01-01,Suco de Laranja,Bebidas,4.85,1,Sunday,113
2023-01-01,Vinho Tinto,Bebidas,29.0,1,Sunday,87
2023-01-01,Frango Congelado,Carnes,14.86,1,Sunday,60
2023-01-01,Carne Moída,Carnes,24.06,1,Sunday,203
2023-01-02,Leite Integral,Laticínios,4.51,1,Monday,94
2023-01-02,Pão Francês,Padaria,0.52,1,Monday,80
2023-01-02,Banana Nanica,Hortifruti,3.07,1,Monday,135
2023-01-02,Coca-Cola 2L,Bebidas,7.8,1,Monday,55
2023-01-02,Arroz 5kg,Mercearia,21.56,1,Monday,105
2023-01-02,Feijão Carioca,Mercearia,8.47,1,Monday,125
2023-01-02,Sabonete,Higiene,1.97,1,Monday,100
2023-01-02,Fralda Infantil,Infantil,39.19,1,Monday,36
2023-01-02,Queijo Mussarela,Laticínios,34.53,1,Monday,84
2023-01-02,Cerveja Lata,Bebidas,3.09,1,Monday,162
2023-01-02,Iogurte Natural,Laticínios,2.5,1,Monday,97
2023-01-02,Manteiga 200g,Laticínios,6.26,1,Monday,78
2023-01-02,Tomate,Hortifruti,4.37,1,Monday,95
2023-01-02,Alface,Hortifruti,2.01,1,Monday,37
2023-01-02,Cenoura,Hortifruti,3.2,1,Monday,79
2023-01-02,Detergente,Limpeza,2.21,1,Monday,76
2023-01-02,Desinfetante,Limpeza,4.61,1,Monday,56
2023-01-02,Shampoo,Higiene,9.78,1,Monday,78
2023-01-02,Creme Dental,Higiene,3.17,1,Monday,121
2023-01-02,Papel Higiênico,Higiene,10.42,1,Monday,78
2023-01-02,Óleo de Soja,Mercearia,6.91,1,Monday,104
2023-01-02,Macarrão Espaguete,Mercearia,3.87,1,Monday,99
2023-01-02,Molho de Tomate,Mercearia,2.9,1,Monday,35
2023-01-02,Café 500g,Mercearia,12.69,1,Monday,21
2023-01-02,Biscoito Recheado,Mercearia,2.68,1,Monday,29
2023-01-02,"Água Mineral 1,5L",Bebidas,1.94,1,Monday,75
2023-01-02,Suco de Laranja,Bebidas,5.27,1,Monday,221
2023-01-02,Vinho Tinto,Bebidas,30.94,1,Monday,109
2023-01-02,Frango Congelado,Carnes,14.43,1,Monday,13
2023-01-02,Carne Moída,Carnes,25.77,1,Monday,29
2023-01-03,Leite Integral,Laticínios,4.65,1,Tuesday,85
2023-01-03,Pão Francês,Padaria,0.55,1,Tuesday,69
2023-01-03,Banana Nanica,Hortifruti,3.21,1,Tuesday,77
2023-01-03,Coca-Cola 2L,Bebidas,7.45,1,Tuesday,127
2023-01-03,Arroz 5kg,Mercearia,19.47,1,Tuesday,115
2023-01-03,Feijão Carioca,Mercearia,7.95,1,Tuesday,56
2023-01-03,Sabonete,Higiene,2.12,1,Tuesday,21
2023-01-03,Fralda Infantil,Infantil,39.1,1,Tuesday,74
